idade;est_civil;endereco;renda;carro;escolaridade;t_empr_atual;aposentado;satisf_trabal;sexo
28;1;2;42;21,4;1;11;0;4;m
30;0;0;63;31,8;4;6;0;2;m
26;1;0;19;9,5;4;1;0;2;m
32;0;13;46;22,5;1;11;0;2;f
38;0;13;71;35,2;5;3;0;3;f
30;1;3;21;10,6;2;2;0;1;m
50;1;7;157;77,8;4;18;0;5;m
44;0;25;132;65,2;2;15;0;3;m
38;0;13;30;14,7;1;8;0;5;m
44;0;7;33;16,3;2;0;0;1;f
28;1;5;29;13,8;4;3;0;2;m
33;0;6;80;39,5;3;7;0;4;f
30;1;2;25;12,6;4;5;0;2;f
26;1;1;28;14;2;4;0;3;m
37;0;4;30;15;3;0;0;2;f
39;1;14;26;12,7;1;5;0;2;m
31;1;4;26;13,3;2;2;0;2;f
50;1;7;65;32,1;4;19;0;4;m
29;1;0;24;11,5;4;5;0;2;m
39;1;7;34;17;5;3;0;3;f
39;1;19;47;22,6;2;17;0;2;m
53;1;16;26;12,9;2;2;0;2;f
71;1;30;32;16;1;20;1;5;f
60;0;27;61;30,9;5;6;0;2;f
42;1;8;79;39,5;1;13;0;4;f
36;0;7;95;46,8;4;2;0;3;m
48;1;10;77;37,5;2;8;0;2;m
42;0;8;56;27,8;2;10;0;4;m
59;0;31;34;16,8;1;8;0;2;f
49;1;0;92;46,3;4;1;0;4;m
32;0;8;36;18,2;2;7;0;4;m
26;0;1;21;10,8;3;3;0;1;f
27;1;4;28;13,3;4;3;0;2;f
49;0;3;32;16,5;1;10;0;3;m
53;0;30;103;50,4;1;22;0;1;m
54;0;3;278;69,1;5;26;0;5;m
31;0;12;47;22,8;3;3;0;1;f
66;1;7;51;25,8;2;36;1;4;m
38;0;16;40;19,9;1;14;0;5;m
47;1;16;21;10,8;3;4;0;3;f
43;0;12;35;17,4;2;9;0;3;m
24;1;4;15;7,4;2;2;0;2;m
65;1;18;82;41,5;2;23;0;4;m
41;0;19;29;14,2;2;2;0;4;m
36;0;17;18;9;4;4;0;3;f
35;1;5;31;15,4;4;10;0;3;m
28;0;0;25;13,1;1;7;0;2;f
65;0;16;69;34,7;1;25;0;5;f
28;0;3;35;17,5;2;5;0;1;f
47;0;3;165;83,6;5;10;0;4;f
44;0;1;109;54,8;3;17;0;2;m
42;1;21;30;15,2;3;3;0;5;m
49;1;11;43;21;4;3;0;4;f
54;1;14;44;21,9;2;6;0;2;m
28;0;4;24;12;2;8;0;4;f
55;1;7;89;45,3;2;5;0;1;f
26;0;6;65;31,9;5;0;0;1;m
38;0;11;126;63,2;3;16;0;4;f
29;0;5;48;23,6;3;4;0;1;m
30;1;10;20;9,9;2;1;0;2;f
30;1;0;33;16,6;5;3;0;3;f
58;0;22;33;16,2;2;17;0;2;f
47;1;4;82;41,7;1;23;0;2;m
60;0;36;43;21,2;1;22;0;5;f
53;0;30;105;51,9;3;23;0;5;m
38;1;19;50;24,5;2;18;0;3;f
31;1;3;49;24;4;2;0;4;f
75;0;28;12;5,8;1;23;1;5;f
54;0;29;178;88,6;2;11;0;4;f
41;0;19;65;33,4;2;15;0;5;f
31;0;4;33;16,4;5;0;0;1;m
45;0;8;174;86,2;3;16;0;5;m
24;0;0;22;10,8;2;1;0;3;f
50;1;13;244;74,4;2;27;0;4;m
42;0;15;20;10,2;4;3;0;2;f
22;1;2;61;29,6;4;0;0;2;f
29;1;9;25;12,5;2;5;0;3;f
43;0;14;45;21,6;5;4;0;3;f
31;1;11;29;14;3;0;0;1;m
28;0;1;43;20,8;5;1;0;2;f
28;1;9;47;23,9;5;0;0;1;f
41;1;8;118;58,9;5;10;0;3;f
52;0;19;75;37,9;1;29;0;3;f
45;1;13;64;31,2;2;23;0;3;m
36;0;12;51;25,7;2;13;0;2;f
25;1;2;20;10;1;0;0;2;f
34;1;15;33;16,9;2;4;0;2;m
20;1;1;30;15,1;3;0;0;3;m
31;1;4;30;15,2;2;7;0;2;f
35;1;16;48;24,2;4;10;0;4;m
21;1;0;18;9;3;0;0;2;f
42;0;5;46;23,6;1;12;0;5;m
33;0;0;32;16,1;2;1;0;1;f
40;0;16;114;57,5;3;7;0;5;m
47;1;2;58;28,6;3;24;0;2;m
65;1;21;323;76,3;1;49;0;4;f
34;0;10;24;11,3;3;2;0;1;m
26;1;0;31;15,1;1;9;0;4;m
61;1;26;23;11,6;2;0;0;4;f
42;1;3;93;45,8;1;21;0;4;m
59;0;36;46;22,7;3;15;0;3;m
36;0;4;34;16,6;2;0;0;2;m
55;0;28;197;98,8;2;21;0;5;m
41;1;19;29;14,1;3;2;0;4;f
55;0;9;110;56,4;4;16;0;4;m
59;1;0;37;18,4;1;14;0;2;m
51;0;27;107;53,1;2;11;0;4;f
27;1;2;66;33,2;4;1;0;4;m
57;1;13;148;75,8;2;26;0;3;m
58;1;22;41;20,5;2;2;0;2;m
40;0;6;25;12,1;2;0;0;3;f
32;1;7;37;18,5;4;6;0;4;f
29;0;7;57;29;5;2;0;2;f
47;0;8;36;17,6;3;13;0;5;m
48;0;19;151;75,5;1;22;0;3;m
54;1;12;65;32;4;2;0;1;m
42;1;10;63;31,7;2;10;0;2;m
38;1;7;70;34,1;2;15;0;3;f
52;0;17;39;19,5;2;8;0;5;m
56;0;37;54;26,6;3;8;0;5;m
19;0;0;27;13,7;2;0;0;1;m
65;1;9;79;38,8;1;19;0;3;f
29;0;6;48;25;2;9;0;5;m
30;1;10;23;11,3;3;6;0;2;f
41;1;10;62;30,8;3;7;0;3;m
52;1;18;134;68,9;2;33;0;4;f
59;0;2;31;15,4;1;9;0;5;f
29;0;6;24;11,7;2;8;0;5;m
51;0;14;42;20,6;4;7;0;2;m
42;0;1;24;11,8;2;2;0;2;f
48;0;14;126;62,7;2;28;0;4;f
51;0;25;97;48,3;2;28;0;3;m
50;0;5;31;15,6;1;1;0;5;m
29;0;0;31;15,1;2;6;0;2;m
46;1;2;112;54,6;1;26;0;4;m
36;0;16;197;98,2;4;13;0;4;f
58;1;5;79;39,6;2;27;0;5;f
50;1;13;44;22,6;2;5;0;3;m
32;1;13;36;17,9;5;2;0;1;m
39;1;10;18;8,8;2;6;0;3;m
52;0;33;98;47,2;3;25;0;5;m
32;1;12;18;9;2;4;0;1;m
44;0;1;121;61;3;13;0;5;m
37;0;7;26;13;3;9;0;5;m
35;0;11;44;22,7;1;13;0;2;f
35;1;11;48;24;4;10;0;2;f
46;1;6;191;95,5;2;18;0;5;f
63;0;31;103;51,4;3;17;0;4;m
42;0;23;28;14,1;2;4;0;2;m
24;0;0;21;10,6;2;3;0;2;f
34;0;4;38;18,9;1;17;0;2;m
36;0;14;23;11,2;1;5;0;3;f
39;1;10;56;27,9;3;6;0;1;m
49;0;30;98;49,6;1;22;0;3;f
46;1;8;65;32,1;1;17;0;5;m
53;0;5;192;94,8;1;27;0;3;f
49;1;22;24;12;4;0;0;1;f
55;1;18;173;86,4;3;31;0;3;m
25;0;1;30;14,4;2;3;0;4;m
29;1;0;29;14,7;1;5;0;2;f
49;1;12;28;14,7;2;6;0;5;m
47;1;6;37;18,6;1;6;0;3;f
53;0;9;125;63,6;3;24;0;5;m
38;0;12;49;24,6;2;11;0;5;m
47;1;2;158;79;2;25;0;3;m
26;1;2;29;14,7;4;0;0;2;f
57;1;20;282;69,1;3;22;0;3;f
24;1;0;78;38,5;4;0;0;4;m
25;0;3;32;15,8;1;8;0;1;m
54;1;14;177;87,6;1;32;0;5;m
62;0;17;272;69,1;3;33;0;5;f
56;1;30;26;13,1;4;3;0;1;m
26;1;3;25;12,9;1;3;0;4;f
26;1;1;15;7,4;1;0;0;1;f
40;1;8;68;34,2;1;17;0;2;f
36;1;12;41;20,6;4;6;0;2;m
42;1;5;67;33,2;2;2;0;1;f
34;1;13;45;23,2;2;4;0;2;m
48;1;22;44;23,1;3;17;0;2;f
29;1;9;136;67,6;3;8;0;5;f
36;1;2;73;37,3;4;5;0;2;f
58;1;28;73;36,8;3;10;0;3;f
42;0;18;124;61,9;3;17;0;5;m
57;0;3;80;40,4;4;20;0;2;f
31;1;11;68;34,1;2;6;0;3;m
41;0;9;36;17,7;1;7;0;2;m
38;1;14;76;38,4;4;8;0;4;m
21;1;1;27;12,8;3;0;0;2;f
31;1;5;44;21,6;2;11;0;1;f
30;0;0;38;18,8;3;6;0;3;m
44;1;23;44;21,6;1;15;0;3;f
31;0;5;18;9,1;1;0;0;2;f
26;1;1;18;8,9;4;1;0;5;m
51;1;3;30;14,5;2;12;0;3;f
34;1;13;63;32;4;8;0;5;m
52;1;8;34;17,3;2;5;0;3;f
28;0;5;28;13,6;2;0;0;1;m
54;0;21;51;25,5;3;2;0;3;m
43;1;9;105;51,6;1;24;0;5;m
30;1;9;29;14;4;2;0;4;f
44;0;2;44;21,8;1;4;0;1;f
39;0;9;55;27,1;5;12;0;3;f
50;0;9;39;19,1;1;1;0;1;f
48;0;5;90;45,1;1;21;0;5;f
43;1;16;45;21,5;3;4;0;4;m
41;1;11;92;44,7;4;16;0;2;m
45;1;0;23;11,6;1;8;0;4;m
37;0;1;25;12,4;2;9;0;3;f
56;1;17;62;30,9;1;10;0;1;f
29;0;1;31;15,2;2;5;0;1;m
54;1;28;22;10,7;3;1;0;1;m
40;1;14;86;43,9;4;15;0;4;m
48;1;20;42;20,8;2;3;0;5;m
50;0;10;111;56;1;22;0;3;m
22;0;3;16;7,9;2;3;0;3;f
26;1;4;74;37,3;5;0;0;1;m
44;1;4;77;38,6;2;14;0;5;f
30;1;10;24;13;5;1;0;2;f
53;1;16;75;37,7;1;19;0;2;f
53;0;34;140;69,8;3;19;0;4;m
52;0;30;40;20;2;21;0;4;f
41;0;13;31;16;2;0;0;1;f
28;0;3;22;11,7;2;3;0;1;m
36;0;5;96;47,8;3;9;0;2;m
25;0;5;17;8,6;2;3;0;5;m
77;1;3;46;22,2;4;17;1;4;m
21;1;1;19;9,6;3;0;0;1;f
41;1;6;285;73,9;4;14;0;4;m
59;0;39;10;5,1;1;6;1;4;m
56;1;35;30;14,8;4;13;0;2;m
47;0;12;163;81,3;5;8;0;5;m
50;0;28;41;21,2;3;0;0;1;f
33;0;2;44;22,4;4;8;0;2;m
33;1;7;72;36,1;1;14;0;4;f
35;1;10;64;31,5;4;9;0;3;m
38;1;4;69;33,6;4;14;0;3;f
32;1;11;48;23,3;4;0;0;2;m
35;1;16;28;14,4;3;8;0;1;m
61;0;19;9;4,6;2;0;1;3;m
56;1;21;298;79,5;2;37;0;5;m
54;1;17;32;16,2;2;10;0;4;m
47;0;13;57;28,7;2;8;0;2;f
63;0;2;55;27;2;21;0;3;f
39;1;0;144;71,8;5;6;0;3;f
51;1;31;48;24,4;1;17;0;3;f
32;1;13;66;31,5;4;8;0;2;f
45;0;7;321;70;5;14;0;3;m
36;1;17;20;9,8;4;4;0;3;f
62;0;2;223;79,6;1;38;0;1;m
64;1;8;343;75;3;38;0;4;f
42;1;5;61;31,2;2;9;0;1;f
31;1;1;49;24,6;1;13;0;3;f
24;0;1;16;7,8;4;0;0;2;m
38;0;6;92;44,6;3;9;0;3;m
45;1;23;52;26,9;3;1;0;1;m
24;0;5;21;10,2;3;2;0;3;m
42;0;12;30;14,5;1;8;0;2;f
42;0;8;19;9,4;2;6;0;1;f
29;1;8;19;9,6;3;2;0;3;f
41;1;14;32;15,7;1;17;0;5;m
55;1;27;162;81,5;4;21;0;4;m
60;0;38;120;59,5;4;13;0;3;f
37;1;15;63;31,4;3;13;0;3;f
26;0;4;87;44;5;0;0;1;m
53;0;27;59;30,2;2;19;0;5;f
45;1;0;41;19,8;2;5;0;3;f
46;1;18;112;55,8;1;29;0;4;f
49;0;22;96;47,6;4;8;0;4;m
38;0;17;42;20,9;3;4;0;2;m
27;0;8;33;16,7;2;2;0;2;m
47;0;25;62;31,6;5;9;0;3;m
48;0;6;144;72,6;2;15;0;5;m
43;0;22;292;80,1;5;11;0;3;f
45;1;22;95;48,4;1;24;0;5;m
31;0;6;50;25;3;1;0;3;f
38;1;14;86;43,9;2;8;0;5;m
33;0;14;25;12,3;1;1;0;3;m
48;1;1;62;30,6;1;20;0;4;m
41;1;11;168;83,8;3;20;0;4;f
60;1;33;99;48,9;3;14;0;3;m
42;0;3;56;28,7;2;13;0;3;f
37;1;0;22;10,8;2;5;0;3;m
25;1;2;40;20,1;3;3;0;1;m
24;0;0;15;7,5;1;0;0;1;m
22;0;2;19;9,4;1;1;0;1;m
51;0;31;69;34,3;2;12;0;4;m
38;1;1;19;9,5;4;6;0;3;f
49;1;17;24;11,6;2;8;0;5;m
31;1;12;39;19,2;1;11;0;4;m
31;0;12;35;17,6;4;8;0;2;f
37;0;18;41;20,9;3;12;0;2;f
58;1;17;21;10,3;2;10;1;3;m
28;1;9;42;21,2;2;7;0;2;f
42;0;11;60;30,1;2;18;0;5;f
24;0;4;21;10,9;1;4;0;3;m
30;1;2;21;10,6;1;2;0;1;m
37;1;5;28;13,8;4;13;0;3;f
56;1;20;361;77,2;4;29;0;5;m
44;0;15;174;88,2;2;23;0;3;f
32;1;4;39;19,2;3;3;0;2;f
54;1;23;125;62,5;1;34;0;4;m
38;0;0;51;25,8;3;4;0;1;f
49;0;19;26;13,1;5;1;0;3;f
38;0;12;39;19,5;2;8;0;5;f
31;1;5;26;13,1;1;12;0;5;f
21;0;0;39;19,7;3;0;0;1;m
53;1;12;44;22,8;1;10;0;5;m
46;1;10;332;69,3;3;23;0;5;m
33;0;2;47;23,1;2;9;0;2;m
69;0;0;65;32,4;2;42;1;4;f
55;0;29;142;72;1;27;0;5;f
51;1;14;34;17;1;6;0;4;f
50;0;2;143;72,1;2;19;0;4;m
44;0;25;21;10,1;3;2;0;2;f
26;0;1;28;14;2;4;0;3;m
47;0;24;70;34,5;3;25;0;3;m
38;0;12;59;30,1;3;4;0;2;m
39;0;6;56;27,6;4;3;0;1;m
30;0;9;26;12,9;2;3;0;3;m
33;1;13;69;34,5;4;10;0;5;f
32;0;4;22;10,8;4;1;0;3;f
46;1;21;65;32,3;4;8;0;2;m
62;0;3;135;68,2;3;26;0;5;m
37;1;10;44;21,7;4;9;0;4;m
50;1;27;97;48,4;2;16;0;2;m
28;1;3;43;21,7;4;3;0;2;m
24;0;4;48;24,5;2;4;0;5;f
47;0;10;192;95,8;2;27;0;3;m
44;0;15;101;51,5;2;17;0;4;m
20;0;0;14;6,9;3;0;0;3;m
25;0;4;27;13,8;4;1;0;1;m
20;0;1;16;7,9;3;0;0;1;m
19;0;0;29;14,6;2;0;0;1;f
37;0;12;83;41,5;5;3;0;1;f
29;0;2;46;23,8;2;11;0;5;f
60;1;34;22;11,4;2;31;1;4;f
50;0;21;47;23,2;3;15;0;5;m
31;0;3;28;13,8;3;8;0;5;f
27;0;6;19;9,5;3;5;0;2;f
50;1;28;244;76,8;2;30;0;5;f
45;0;8;39;19,7;1;15;0;5;m
42;1;22;45;23,4;2;4;0;2;m
19;1;0;15;7,2;1;2;0;3;f
35;0;16;138;69;3;8;0;4;m
33;1;6;58;28,5;2;14;0;4;f
69;0;16;45;22,7;4;25;1;4;f
57;1;10;238;69;3;24;0;4;m
27;1;8;38;18,9;4;3;0;4;f
51;1;17;60;30,2;5;7;0;3;f
33;1;11;28;14;5;4;0;1;f
65;1;4;10;5;1;4;1;2;m
68;0;39;276;68,2;4;42;0;5;m
28;1;5;67;33,5;4;2;0;4;m
39;0;7;78;39,6;2;16;0;4;f
54;1;31;367;80,9;2;27;0;3;f
54;1;34;470;73,7;1;36;0;4;f
33;0;6;32;15,9;2;13;0;1;m
48;1;7;60;29,7;4;5;0;4;f
25;1;1;42;20,5;1;8;0;4;m
52;1;19;42;21,4;2;24;0;5;m
29;0;7;75;38;4;1;0;3;f
41;1;9;57;28,9;4;5;0;3;m
63;0;20;230;74;1;43;0;1;m
28;1;6;15;7,5;2;4;0;4;f
